197,215,20,132,248,207,155
244,183,111,71,144,71,48
128,75,158,50,37,169,241
51,181,222,161,104,244,226
133,31,7,47,204,0,252
170,124,166,32,97,113,122
72,229,46,41,163,250,55
154,149,63,170,104,147,227
46,197,162,123,148,94,96
95,16,133,243,35,45,66
76,19,41,200,141,120,110
214,140,230,252,182,42,166
59,249,171,97,124,8,138
59,112,190,87,170,218,31
51,74,112,23,37,13,63
96,61,200,46,189,59,18
11,99,94,63,245,107,31
11,217,51,133,35,113,36
154,179,223,92,31,239,20
51,200,102,133,183,240,86
104,29,81,82,175,128,60
226,89,6,241,209,159,182
198,128,78,6,234,40,171
23,143,69,122,246,180,147
183,67,158,198,212,41,0
98,171,81,122,114,229,193
212,16,205,214,23,84,228
32,132,80,228,249,0,19
253,166,159,239,25,212,96
42,66,7,205,213,161,1
109,7,1,50,97,60,101
154,143,93,51,243,203,41
11,140,231,59,131,68,177
58,79,142,9,21,20,105
132,161,187,21,253,234,222
190,91,106,192,149,4,70
77,138,170,172,188,47,173
18,21,138,83,76,148,184
202,66,150,58,244,122,24
157,91,36,154,206,168,153
212,55,50,246,242,172,175
63,245,59,254,218,19,154
171,79,85,192,44,33,43
101,113,31,197,4,50,201
148,229,250,111,216,42,188
112,133,85,220,98,183,58
32,14,231,103,60,254,203
131,106,21,110,74,53,101
234,193,185,77,53,249,75
207,216,253,165,255,255,103
112,4,174,162,164,18,75
131,79,194,150,240,33,43
20,33,115,66,20,153,7
229,169,82,76,235,190,195
17,46,39,218,105,148,213
246,198,119,10,0,93,154
130,170,33,252,134,155,208
196,196,31,83,65,122,146
171,28,18,246,213,72,251
41,77,180,210,18,238,197
234,24,51,241,77,10,16
67,165,53,177,99,196,251
56,30,239,172,63,151,65
198,150,62,96,19,200,227
190,97,233,182,38,22,20
248,130,13,110,117,47,215
156,58,74,218,216,43,53
212,32,50,212,79,15,228
220,213,15,254,166,129,40
180,36,62,183,15,176,178
91,5,118,187,36,73,106
1,104,63,3,150,188,12
119,72,95,232,57,244,176
132,66,14,106,185,171,242
149,151,167,94,41,52,157
80,192,75,64,114,161,124
121,94,149,190,214,23,67
10,201,39,37,67,215,153
213,72,216,152,181,43,127
227,189,29,192,209,4,213
164,225,104,190,150,241,46
94,55,141,57,78,228,204
94,215,221,89,126,232,174
72,181,236,44,247,104,150
0,229,236,3,111,152,58
154,79,217,241,47,254,118
207,143,11,61,138,20,0
131,203,202,227,52,129,181
145,100,43,18,36,134,156
174,60,127,83,34,212,148
144,68,107,53,210,206,142
149,226,190,70,80,63,61
195,205,239,71,153,181,242
212,111,244,250,162,252,30
227,153,73,253,26,110,13
181,241,200,5,34,41,202
3,184,21,59,1,138,149
116,72,147,97,53,222,235
169,196,86,169,215,222,75
229,75,161,66,106,95,227
END_OF_DATA
